theoretical,observed,num_files,simulated_seq_length
0.01,0.0001234567901234568,27,300
0.02,0.0001234567901234568,27,300
0.03,0.0001234567901234568,27,300
0.04,0.00037037037037037035,27,300
0.05,0.0006172839506172839,27,300
0.06,0.0009876543209876543,27,300
0.07,0.0016049382716049384,27,300
0.08,0.0022222222222222222,27,300
0.09,0.002716049382716049,27,300
0.1,0.003580246913580246,27,300
0.2,0.014320987654320987,27,300
0.3,0.031975308641975314,27,300
0.4,0.05135802469135803,27,300
0.5,0.07308641975308641,27,300
