theoretical,observed,num_files,simulated_seq_length
0.01,0.0003333333333333334,10,300
0.02,0.0003333333333333334,10,300
0.03,0.0006666666666666668,10,300
0.04,0.0006666666666666668,10,300
0.05,0.0016666666666666666,10,300
0.06,0.0023333333333333335,10,300
0.07,0.003333333333333333,10,300
0.08,0.003333333333333333,10,300
0.09,0.003333333333333333,10,300
0.1,0.0036666666666666666,10,300
0.2,0.013666666666666669,10,300
0.3,0.025333333333333336,10,300
0.4,0.03899999999999999,10,300
0.5,0.06333333333333332,10,300
