theoretical,observed,num_files,simulated_seq_length
0.01,0.0015714285714285715,70,300
0.02,0.0036190476190476194,70,300
0.03,0.005571428571428572,70,300
0.04,0.007666666666666666,70,300
0.05,0.009761904761904762,70,300
0.06,0.012095238095238095,70,300
0.07,0.01361904761904762,70,300
0.08,0.015714285714285715,70,300
0.09,0.017333333333333336,70,300
0.1,0.019952380952380954,70,300
0.2,0.04271428571428572,70,300
0.3,0.06842857142857144,70,300
0.4,0.09457142857142857,70,300
0.5,0.12047619047619047,70,300
