theoretical,observed,num_files,simulated_seq_length
0.01,0.001932367149758454,69,300
0.02,0.004589371980676329,69,300
0.03,0.007004830917874396,69,300
0.04,0.009468599033816425,69,300
0.05,0.011980676328502417,69,300
0.06,0.014830917874396133,69,300
0.07,0.01772946859903382,69,300
0.08,0.020531400966183576,69,300
0.09,0.022463768115942025,69,300
0.1,0.025120772946859903,69,300
0.2,0.05173913043478261,69,300
0.3,0.08043478260869566,69,300
0.4,0.112512077294686,69,300
0.5,0.14473429951690822,69,300
